;"""Senior Engineer";Junior Engineer;Engineering Discipline;Location;Hours Worked;Training Completed;Certifications Held;Equipment Used;Collaborative Projects;Mentorship Programs;Professional Affiliations;Conference Attendance;"Publications"""
42;Ryan Reynolds;Avery Thompson;Electrical Engineering;Denver;46;AutoCAD Electrical;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Power Systems Design Software, Test Equipment;Power Electronics, Smart Grids;Mentor Junior Engineers;IEEE, National Society of Professional Engineers (NSPE);ATTEND: IEEE Power & Energy Society General Meeting;Published 'Smart Grids and Power Electronics in Modern Power Systems'
43;Margot Robbie;Kara Johnson;Aerospace Engineering;Los Angeles;48;ANSYS Fluent;Professional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;Fluid Dynamics Software, Wind Tunnel;Aircraft Design, Space Systems;Mentor Junior Engineers;AIAA, American Society of Mechanical Engineers (ASME);ATTEND: AIAA SciTech Forum;Published 'Aircraft Design and Fluid Dynamics in Aerospace Engineering'
44;Gal Gadot;Daniel Kim;Computer Engineering;San Francisco;51;TensorFlow;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Machine Learning Software, Hardware Prototyping Tools;Computer Architecture, Embedded Systems;Mentor Junior Engineers;IEEE, Association for Computing Machinery (ACM);ATTEND: IEEE International Solid-State Circuits Conference;Published 'Embedded Systems and Computer Architecture in Modern Computing'
45;Viola Davis;Liam Foster;Civil Engineering;Chicago;45;AutoCAD Civil 3D;Professional Engineer (PE), American Society of Civil Engineers (ASCE) Certification;Structural Analysis Software, Surveying Equipment;Transportation Engineering, Construction Management;Mentor Junior Engineers;ASCE, National Council of Examiners for Engineering and Surveying (NCEES);ATTEND: ASCE Annual Conference;Published 'Transportation Engineering and Construction Management in Civil Infrastructure'
46;Andrew Garfield;Bella Rodriguez;Environmental Engineering;Atlanta;47;GEATuki;Professional Engineer (PE), Environmental Engineering Society (EES) Certification;Air Quality Modeling Software, Water Sampling Equipment;Waste Management, Sustainable Energy;Mentor Junior Engineers;EES, Society for the Environment (SocEnv);ATTEND: EES Annual Conference;Published 'Waste Management and Sustainable Energy in Environmental Engineering'
47;Scarlett Johansson;Elijah Hall;Mechanical Engineering;Houston;49;SolidEdge;Professional Engineer (PE), American Society of Mechanical Engineers (ASME) Certification;Thermodynamics Software, Machine Tools;Robotics, Energy Systems;Mentor Junior Engineers;ASME, American Society for Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE);ATTEND: ASME International Mechanical Engineering Congress and Exposition;Published 'Robotics and Energy Systems in Mechanical Engineering'
48;Zac Efron;Sophia Lee;Materials Engineering;New York;46;ABAQUS;Professional Engineer (PE), Materials Information Society (ASM) Certification;Finite Element Analysis Software, Microscopy Equipment;Nanomaterials, Composite Materials;Mentor Junior Engineers;ASM, Minerals, Metals & Materials Society (TMS);ATTEND: ASM Annual Meeting;Published 'Nanomaterials and Composite Materials in Materials Engineering'
49;Chris Hemsworth;Grace Turner;Telecommunications Engineering;San Diego;48;Cisco Packet Tracer;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Communications Society Certification;Network Simulation Software, Wireless Test Equipment;5G Networks, Cybersecurity;Mentor Junior Engineers;IEEE ComSoc, Alliance for Telecommunications Industry Solutions (ATIS);ATTEND: IEEE Global Communications Conference;Published '5G Networks and Cybersecurity in Telecommunications Engineering'</s>
50; Natalie Portman;Diana Smith;Chemical Engineering;Boston;50;COMSOL Multiphysics;Professional Engineer (PE), American Institute of Chemical Engineers (AIChE) Certification;Process Simulation Software, Laboratory Equipment;Pharmaceutical Manufacturing, Polymer Chemistry;Mentor Junior Engineers;AIChE, Society of Women Engineers (SWE);ATTEND: AIChE Annual Meeting;Published 'Pharmaceutical Manufacturing and Polymer Chemistry in Chemical Engineering'
51;Anthony Hopkins;David Foster;Civil Engineering;London;51;AutoCAD Civil 3D;Professional Engineer (PE), Institution of Civil Engineers (ICE) Certification;CAD Software, Construction Equipment;Transportation Infrastructure, Structural Engineering;Mentor Junior Engineers;ICE, American Society of Civil Engineers (ASCE);ATTEND: ASCE Convention;Published 'Transportation Infrastructure and Structural Engineering in Civil Engineering'
52;Emma Stone;Logan Davis;Electrical Engineering;Los Angeles;50;MATLAB;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Power and Energy Society Certification;Simulation Software, Test Equipment;Smart Grids, Power Electronics;Mentor Junior Engineers;IEEE Power and Energy Society, National Electrical Manufacturers Association (NEMA);ATTEND: IEEE Power & Energy Conference at Penn State;Published 'Smart Grids and Power Electronics in Electrical Engineering'
53;Michael Fassbender;Brian Johnson;Aerospace Engineering;Seattle;51;NX CAD;Professional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;CAD Software, Aerospace Test Equipment;Aircraft Design, Space Systems;Mentor Junior Engineers;AIAA, American Astronautical Society (AAS);ATTEND: AIAA SciTech Forum;Published 'Aircraft Design and Space Systems in Aerospace Engineering'
54;Gal Gadot;Ava Martin;Bioengineering;Miami;50;Simulink;Professional Engineer (PE), Biomedical Engineering Society (BMES) Certification;Simulation Software, Laboratory Instruments;Tissue Engineering, Biomechanics;Mentor Junior Engineers;BMES, American Society for Engineering Education (ASEE);ATTEND: BMES Annual Meeting;Published 'Tissue Engineering and Biomechanics in Bioengineering'
55;Ryan Reynolds;James Wilson;Computer Engineering;Denver;51;Eclipse;Professional Engineer (PE), IEEE Computer Society Certification;Programming Tools, Hardware Development Tools;Artificial Intelligence, Cyber-Physical Systems;Mentor Junior Engineers;IEEE Computer Society, Association for Computing Machinery (ACM);ATTEND: IEEE International Conference on Computer Science and Engineering;Published 'Artificial Intelligence and Cyber-Physical Systems in Computer Engineering'
56;Henry Cavill;Emily Thompson;Ocean Engineering;San Francisco;50;ORCAD;Professional Engineer (PE), Marine Technology Society (MTS) Certification;Circuit Simulation Software, Marine Survey Equipment;Offshore Structures, Underwater Robotics;Mentor Junior Engineers;MTS, Society for Underwater Technology (SUT);ATTEND: OCEANS Conference;Published 'Offshore Structures and Underwater Robotics in Ocean Engineering'
57;Viola Davis;Daniel Kim;Industrial Engineering;Chicago;49;Windchill;Professional Engineer (PE), Institute of Industrial and Systems Engineers (IISE) Certification;Product Lifecycle Management Software, Manufacturing Equipment;Lean Six Sigma, Supply Chain Management;Mentor Junior Engineers;IISE, International Supply Chain Education Alliance (ISCEA);ATTEND: IISE Annual Conference & Expo;Published 'Lean Six Sigma and Supply Chain Management in Industrial Engineering'
58;Margot Robbie;Harper Wilson;Environmental Engineering;Atlanta;50;HYSYS;Professional Engineer (PE), American Academy of Environmental Engineers and Scientists (AAEES) Certification;Process Simulation Software, Environmental Test Equipment;Water Treatment, Air Pollution Control;Mentor Junior Engineers;AAEES, Water Environment Federation (WEF);ATTEND: WEFTEC;Published 'Water Treatment and Air Pollution Control in Environmental Engineering'
59;Chris Evans;Katherine Taylor;Geological Engineering;Toronto;48;Leapfrog;Professional Engineer (PE), Association of Environmental & Engineering Geologists (AEG) Certification;3D Geological Modeling Software, Drilling Equipment;Geohazard Assessment, Mineral Exploration;Mentor Junior Engineers;AEG, Society of Economic Geologists (SEG);ATTEND: SEG International Exposition and Annual Meeting;Published 'Geohazard Assessment and Mineral Exploration in Geological Engineering'</s>
60; Samantha Morton;Aiden Walker;Chemical Engineering;Houston;51;Aspen Tech;Professional Engineer (PE), American Institute of Chemical Engineers (AIChE) Certification;Process Simulation Software, Laboratory Equipment;Reaction Kinetics, Catalysis;Mentor Junior Engineers;AIChE, American Chemical Society (ACS);ATTEND: AIChE Annual Meeting;Published 'Reaction Kinetics and Catalysis in Chemical Engineering'
61;Michael Fassbender;Emily Chen;Bioengineering;Boston;49;SolidWorks;Professional Engineer (PE), Biomedical Engineering Society (BMES) Certification;CAD Software, Medical Devices;Tissue Engineering, Biomechanics;Mentor Junior Engineers;BMES, American Society of Mechanical Engineers (ASME);ATTEND: ASME International Mechanical Engineering Congress and Exposition;Published 'Tissue Engineering and Biomechanics in Bioengineering'
62;Emma Stone;Jordan Banks;Electrical Engineering;Los Angeles;50;MATLAB;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Programming Software, Test Equipment;Power Systems, Control Systems;Mentor Junior Engineers;IEEE, National Society of Professional Engineers (NSPE);ATTEND: NSPE Professional Engineers Conference;Published 'Power Systems and Control Systems in Electrical Engineering'
63;Ryan Reynolds;Sophia Lee;Computer Engineering;Seattle;51;Eagle;Professional Engineer (PE), Association for Computing Machinery (ACM) Certification;PCB Design Software, Embedded Systems;Artificial Intelligence, Computer Networking;Mentor Junior Engineers;ACM, Institute of Electrical and Electronics Engineers (IEEE);ATTEND: IEEE International Conference on Computer Science and Network Security;Published 'Artificial Intelligence and Computer Networking in Computer Engineering'
64;Jessica Chastain;Alexander Garcia;Aerospace Engineering;Miami;48;ANSYS;Professional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;Flight Simulation Software, Aerospace Test Equipment;Aircraft Design, Spacecraft Design;Mentor Junior Engineers;AIAA, American Astronautical Society (AAS);ATTEND: AAS/AIAA Astrodynamics Specialist Conference;Published 'Aircraft Design and Spacecraft Design in Aerospace Engineering'
65;Penelope Cruz;Benjamin White;Civil Engineering;Dallas;50;AutoCAD;Professional Engineer (PE), American Society of Civil Engineers (ASCE) Certification;CAD Software, Construction Equipment;Structural Analysis, Geotechnical Engineering;Mentor Junior Engineers;ASCE, Transportation Research Board (TRB);ATTEND: TRB Annual Meeting;Published 'Structural Analysis and Geotechnical Engineering in Civil Engineering'
66;Marlon Brando;Grace Thompson;Materials Engineering;Denver;49;FEA;Professional Engineer (PE), The Minerals, Metals & Materials Society (TMS) Certification;Finite Element Analysis Software, Materials Testing Equipment;Material Processing, Composite Materials;Mentor Junior Engineers;TMS, American Ceramic Society (ACS);ATTEND: ACS Fall Meeting & Exposition;Published 'Material Processing and Composite Materials in Materials Engineering'
67;Natalie Portman;Oliver Davis;Mechanical Engineering;New York;50;Siemens NX;Professional Engineer (PE), American Society of Mechanical Engineers (ASME) Certification;CAD Software, Machine Tools;Thermodynamics, Fluid Mechanics;Mentor Junior Engineers;ASME, Society of Automotive Engineers (SAE);ATTEND: SAE World Congress Experience;Published 'Thermodynamics and Fluid Mechanics in Mechanical Engineering'
68;Charlize Theron;Madison King;Mechatronics Engineering;San Francisco;48;LabVIEW;Professional Engineer (PE), American Society of Mechanical Engineers (ASME) Certification;Programming Software, Robotics;Control Systems, Machine Learning;Mentor Junior Engineers;ASME, Institute of Electrical and Electronics Engineers (IEEE);ATTEND: IEEE International Conference on Robotics and Automation;Published 'Control Systems and Machine Learning in Mechatronics Engineering'
69;Cate Blanchett;Jacob Nelson;Nuclear Engineering;Phoenix;49;SCADAPack;Professional Engineer (PE), American Nuclear Society (ANS) Certification;SCADA Software, Radiation Measurement Equipment;Nuclear Reactor Physics, Nuclear Fuel Cycle;Mentor Junior Engineers;ANS, Nuclear Energy Institute (NEI);ATTEND: NEI Nuclear Energy Conference;Published 'Nuclear Reactor Physics and Nuclear Fuel Cycle in Nuclear Engineering'</s>
70; Scarlett Johansson;Tyler Phillips;Aerospace Engineering;Los Angeles;52;CATIA;Professional Engineer (PE), American Institute of Aeronautics and Astronautics (AIAA) Certification;CAD Software, Wind Tunnel Testing Equipment;Aerodynamics, Flight Dynamics;Mentor Junior Engineers;AIAA, American Society for Gravitational and Space Research (ASGSR);ATTEND: AIAA SciTech Forum;Published 'Aerodynamics and Flight Dynamics in Aerospace Engineering'
71;Emma Stone;Avery Brooks;Electrical Engineering;Houston;45;MATLAB;Professional Engineer (PE), Institute of Electrical and Electronics Engineers (IEEE) Certification;Simulation Software, Test Equipment;Power Systems, Electrical Machines;Mentor Junior Engineers;IEEE, National Society of Professional Engineers (NSPE);ATTEND: NSPE Professional Engineers Conference;Published 'Power Systems and Electrical Machines in Electrical Engineering'
72;Zoe Saldana;Brooke Davis;Biomedical Engineering;Boston;47;SolidWorks;Professional Engineer (PE), Biomedical Engineering Society (BES) Certification;CAD Software, Medical Imaging Equipment;Biomaterials, Biomechanics;Mentor Junior Engineers;BES, American Society for Engineering Education (ASEE);ATTEND: ASEE Annual Conference;Published 'Biomaterials and Biomechanics in Biomedical Engineering'
73;Jennifer Lawrence;Gabriel Walker;Chemical Engineering;Denver;46;Aspen Tech;Professional Engineer (PE), American Institute of Chemical Engineers (AIChE) Certification;Process Simulation Software, Laboratory Equipment;Chemical Reaction Engineering, Transport Phenomena;Mentor Junior Engineers;AIChE, International Chemical Engineering Council (IChemE);ATTEND: AIChE Annual Meeting;Published 'Chemical Reaction Engineering and Transport Phenomena in Chemical Engineering'
74;Mila Kunis;Hudson Bell;Civil Engineering;Chicago;48;AutoCAD;Professional Engineer (PE), American Society of Civil Engineers (ASCE) Certification;CAD Software, Construction Equipment;Geotechnical Engineering, Structural Engineering;Mentor Junior Engineers;ASCE, Transportation Research Board (TRB);ATTEND: TRB Annual Meeting;Published 'Geotechnical and Structural Engineering in Civil Engineering'
