;PersonID; GivenName; MiddleName; Surname; DateOfBirth; PlaceOfBirth; MotherMaidenName; FatherFirstName; FatherLastName; SpouseName; MarriageDate; DeathDate; SSN
11;10012; Michael, David; Shawn; Johnson; 1956-08-27; Los Angeles, CA, USA; Barbara, Miller; Samuel, Peter; Harrison; Emily, Catherine; 1980-02-14; 2010-09-23; 345-67-8901
12;10013; Laura, Anne; Nicole; Thompson; 1958-12-11; Philadelphia, PA, USA; Elizabeth, Walker; James, Richard; Thompson; Daniel, Andrew; 1983-07-08; 2015-03-05; 456-78-9012
13;10014; Kenneth, Justin; Scott; White; 1960-03-04; Atlanta, GA, USA; Linda, Carter; Robert, Samuel; Clark; Barbara, Sarah; 1985-01-15; 2018-07-10; 567-89-0123
14;10015; Amanda, Rebecca; Katherine; Green; 1962-06-20; Seattle, WA, USA; Laura, Davis; William, Robert; Green; David, Michael; 1987-08-29; 2020-10-25; 678-90-1234
15;10016; Joseph, Mark; Samuel; Lewis; 1964-09-15; Denver, CO, USA; Pamela, Johnson; Richard, James; Lewis; Laura, James; 1990-11-01; 2022-03-21; 789-01-2345
16;10017; Daniel, Brian; Eric; Harris; 1966-12-23; Boston, MA, USA; Susan, Thompson; Michael, David; Harris; Michael, Rebecca; 1993-05-01; 2025-06-16; 890-12-3456
17;10018; Laura, Sarah; Victoria; Clark; 1968-03-08; Houston, TX, USA; Karen, Walker; James, Michael; Clark; Joseph, Andrew; 1995-07-08; 2026-10-15; 012-34-5678
18;10019; James, Matthew; Daniel; Young; 1970-09-12; San Diego, CA, USA; Lisa, Davis; Robert, William; Young; Laura, Thomas; 1997-10-19; 2029-07-30; 123-45-6789
19;10020; Emily, Laura; Rebecca; Moore; 1972-11-25; Chicago, IL, USA; Michelle, Thompson; Michael, Samuel; Moore; Daniel, David; 1999-01-04; 2031-12-25; 234-56-7890</s>
20; 10021; Olivia, Amy; Catherine, Elizabeth; Johnson; 1975-02-16; New York, NY, USA; Rebecca, Taylor; Robert, Michael; Johnson; James, Richard; 2002-06-02; 2034-08-11; 345-67-8901
21;10022; William, David; Thomas, Andrew; Miller; 1977-04-01; Los Angeles, CA, USA; Sarah, Johnson; William, James; Miller; Emily, Laura; 2004-09-14; 2036-05-27; 456-78-9012
22;10023; Ava, Elizabeth; Rose, Caroline; Davis; 1979-06-10; Houston, TX, USA; Jennifer, Walker; Michael, David; Davis; William, Thomas; 2006-12-18; 2038-11-03; 567-89-0123
23;10024; James, Michael, Anthony; Lee; 1981-08-04; San Diego, CA, USA; Lisa, Young; Robert, William; Lee; Ava, Elizabeth; 2008-05-03; 2040-06-20; 678-90-1234;
24;10025; Sophia, Grace; Emily, Rebecca; Wilson; 1984-01-02; Chicago, IL, USA; Michelle, Moore; Samuel, Michael; Wilson; James, Michael; 2010-08-08; 2042-09-28; 789-01-2345
25;10026; Benjamin, Samuel; Alexander, James; Thompson; 1986-04-07; New York, NY, USA; Rebecca, Johnson; Robert, David; Thompson; Sophia, Grace; 2012-12-02; 2044-12-15; 890-12-3456
26;10027; Elizabeth, Victoria; Rebecca, Catherine; Brown; 1989-06-16; Los Angeles, CA, USA; Sarah, Miller; William, Thomas; Brown; Benjamin, Samuel; 2014-06-08; 2046-01-01; 012-34-5678
27;10028; Charles, Alexander; Thomas, Anthony; Moore; 1991-09-15; Houston, TX, USA; Jennifer, Davis; Michael, James; Moore; Elizabeth, Victoria; 2016-10-16; 2048-05-05; 123-45-6789
28;10029; Ethan, William; Daniel, Rebecca; Johnson; 1994-01-04; San Diego, CA, USA; Lisa, Lee; Robert, William; Johnson; Charles, Alexander; 2018-09-22; 2050-12-12; 234-56-7890
29;10030; Ava, Emily; Caroline, Samuel; Davis; 1996-07-01; Chicago, IL, USA; Michelle, Wilson; Michael, David; Davis; Ethan, William; 2020-10-30; 2052-08-01; 345-67-8901</s>
30; 10031; Grace, Elizabeth; Walter, James; Thompson; 1998-03-25; Denver, CO, USA; Laura, Bennett; Richard, Samuel; Thompson; Ava, Emily; 2022-04-01; 2054-06-06; 456-78-9012
31;10032; Lucas, Benjamin; Sarah, Michael; Wilson; 2000-06-20; Seattle, WA, USA; Emily, David; Samuel, Caroline; Wilson; Grace, Elizabeth; 2024-02-14; 2056-10-10; 567-89-0123
32;10033; Lily, James; Linda, Rebecca; Johnson; 2002-11-12; Austin, TX, USA; Rebecca, William; Ethan, Daniel; Johnson; Lucas, Benjamin; 2026-08-07; 2058-04-04; 678-90-1234
33;10034; Michael, Emily; Walter, James; Moore; 2004-02-28; New York, NY, USA; Jennifer, Anthony; Charles, Thomas; Moore; Lily, James; 2028-11-11; 2060-08-08; 789-01-2345
34;10035; Olivia, Daniel; Rebecca, Samuel; Davis; 2006-05-15; Los Angeles, CA, USA; Caroline, Samuel; Ethan, William; Davis; Michael, Emily; 2030-01-01; 2062-12-12; 890-12-3456
35;10036; Samuel, Anthony; Linda, Rebecca; Thompson; 2008-08-25; Boston, MA, USA; Sarah, Michael; Benjamin, James; Thompson; Olivia, Daniel; 2032-05-20; 2064-06-06; 012-34-5678
36;10037; Benjamin, Rebecca; Walter, James; Johnson; 2010-12-20; Miami, FL, USA; Rebecca, William; Ethan, Daniel; Johnson; Samuel, Anthony; 2034-12-12; 2066-08-08; 123-45-6789
37;10038; Leah, Samuel; Linda, Rebecca; Davis; 2012-06-01; Atlanta, GA, USA; Caroline, Samuel; William, Daniel; Davis; Benjamin, Rebecca; 2036-06-06; 2068-06-06; 234-56-7890
38;10039; Noah, James; Sarah, Michael; Wilson; 2014-03-15; Philadelphia, PA, USA; Emily, David; Samuel, Caroline; Wilson; Leah, Samuel; 2038-03-20; 2070-06-06; 345-67-8901
39;10040; Sophia, Anthony; Linda, Rebecca; Thompson; 2016-11-11; Phoenix, AZ, USA; Sarah, Michael; Benjamin, James; Thompson; Noah, James; 2040-11-11; 2072-06-06; 456-78-9012</s>
40; 10041; Olivia, David; Rebecca, Samuel; Johnson; 2018-02-28; New York, NY, USA; Linda, Michael; Rebecca, Benjamin; Johnson; Sophia, Anthony; 2042-02-28; 2074-06-06; 567-89-0123
41;10042; Ethan, Rebecca; Sarah, Caroline; Miller; 2019-07-22; Los Angeles, CA, USA; Emily, Samuel; David, James; Miller; Olivia, David; 2043-07-22; 2075-06-06; 678-90-1234
42;10043; Ava, Samuel; Michael, David; Davis; 2020-04-04; Chicago, IL, USA; Linda, Michael; Caroline, William; Davis; Ethan, Rebecca; 2044-04-04; 2076-06-06; 789-01-2345
43;10044; Caleb, Caroline; David, Rebecca; Martin; 2021-08-01; Miami, FL, USA; Emily, Samuel; James, Benjamin; Martin; Ava, Samuel; 2045-08-01; 2077-06-06; 890-12-3456
44;10045; Charlotte, William; Rebecca, Samuel; Jackson; 2022-10-10; Boston, MA, USA; Sarah, Michael; Daniel, Anthony; Jackson; Caleb, Caroline; 2046-10-10; 2078-06-06; 012-34-5678
45;10046; Benjamin, Rebecca; Samuel, Caroline; Lewis; 2023-12-12; Seattle, WA, USA; Linda, Michael; Anthony, Samuel; Lewis; Charlotte, William; 2047-12-12; 2079-06-06; 123-45-6789
46;10047; Elijah, David; Michael, Rebecca; Harris; 2024-05-15; Denver, CO, USA; Emily, Samuel; Benjamin, James; Harris; Benjamin, Rebecca; 2048-05-15; 2080-06-06; 234-56-7890
47;10048; Harper, Caroline; Rebecca, Samuel; Moore; 2025-09-20; San Francisco, CA, USA; Linda, Michael; William, Daniel; Moore; Elijah, David; 2049-09-20; 2081-06-06; 345-67-8901
48;10049; Logan, Samuel; Sarah, Caroline; Taylor; 2026-01-01; Houston, TX, USA; Emily, Samuel; James, Benjamin; Taylor; Harper, Caroline; 2050-01-01; 2082-06-06; 456-78-9012
49;10050; Avery, Anthony; David, Rebecca; Clark; 2027-06-06; Philadelphia, PA, USA; Sarah, Michael; Daniel, William; Clark; Logan, Samuel; 2051-06-06; 2083-06-06; 567-89-0123</s>
50; 10051; Cooper, Emily; Rebecca, Samuel; Davis; 2025-02-02; New York, NY, USA; Linda, Michael; William, Daniel; Davis; Harper, Caroline; 2049-02-02; 2081-07-07; 678-90-1234
51;10052; Davis, Benjamin; Caroline, Rebecca; Bennett; 2026-03-03; Los Angeles, CA, USA; Emily, Samuel; James, Benjamin; Bennett; Logan, Samuel; 2050-03-03; 2082-07-07; 789-01-2345
52;10053; Evans, Jameson; Sarah, Caroline; White; 2027-04-04; Chicago, IL, USA; Emily, Samuel; Daniel, William; White; Harper, Caroline; 2051-04-04; 2083-07-07; 890-12-3456
53;10054; Fernandez, Jasmine; Rebecca, Samuel; Green; 2025-05-05; Miami, FL, USA; Linda, Michael; William, Daniel; Green; Caroline, David; 2049-05-05; 2081-08-08; 345-67-8901
54;10055; Garcia, Matthew; Sarah, Rebecca; Black; 2026-06-06; Washington D.C., USA; Emily, Samuel; James, Benjamin; Black; Logan, Samuel; 2050-06-06; 2082-08-08; 456-78-9012
55;10056; Hall, Elizabeth; Caroline, Samuel; Brown; 2027-07-07; Atlanta, GA, USA; Sarah, Michael; Daniel, William; Brown; Harper, Caroline; 2051-07-07; 2083-08-08; 567-89-0123
56;10057; Ingram, Ava; Rebecca, Samuel; Johnson; 2025-08-08; Boston, MA, USA; Linda, Michael; William, Daniel; Johnson; Caroline, David; 2049-08-08; 2081-09-09; 678-90-1234
57;10058; Jackson, Liam; Sarah, Rebecca; Miller; 2026-09-09; Seattle, WA, USA; Emily, Samuel; James, Benjamin; Miller; Logan, Samuel; 2050-09-09; 2082-09-09; 789-01-2345
58;10059; Kim, Sophia; Caroline, Samuel; Davis; 2027-10-10; San Francisco, CA, USA; Sarah, Michael; Daniel, William; Davis; Harper, Caroline; 2051-10-10; 2083-09-09; 890-12-3456
59;10060; Lopez, Olivia; Rebecca, Samuel; White; 2025-11-11; Houston, TX, USA; Linda, Michael; William, Daniel; White; Caroline, David; 2049-11-11; 2081-10-10; 345-67-8901</s>
60; 10061; Thompson, Mia; Linda, James; Black; 2024-12-12; New York, NY, USA; Jessica, Robert; Alexander, Thompson; Thompson, David; Samuel, Olivia; 2048-12-12; 2080-11-11; 010-23-4567
61;10062; Johnson, Ethan; Emily, Robert; Green; 2023-01-13; Chicago, IL, USA; Rebecca, Samuel; Benjamin, Alexander; Green; Caroline, Michael; 2050-01-13; 2084-10-10; 123-45-6789
62;10063; Davis, Isabella; Sarah, Samuel; Brown; 2028-02-14; Los Angeles, CA, USA; Caroline, Daniel; William, Robert; Brown; Samuel, Ethan; 2052-02-14; 2085-11-11; 567-89-0123
63;10064; Taylor, Ava; Rebecca, Robert; Miller; 2027-03-15; Denver, CO, USA; Emily, Benjamin; James, Samuel; Miller; Olivia, David; 2051-03-15; 2086-12-12; 987-65-4321
64;10065; Anderson, Joshua; Samuel, James; Jackson; 2026-04-16; Miami, FL, USA; Sarah, Alexander; Samuel, Benjamin; Jackson; Caroline, Michael; 2052-04-16; 2087-10-10; 456-78-9012
65;10066; Wilson, Emily; Caroline, Robert; Davis; 2025-05-17; Boston, MA, USA; Rebecca, William; Daniel, Samuel; Davis; Ethan, David; 2051-05-17; 2088-11-11; 789-01-3456
66;10067; Martinez, Aiden; Linda, Samuel; White; 2028-06-18; Phoenix, AZ, USA; Sarah, Michael; William, Daniel; White; Isabella, Michael; 2054-06-18; 2090-10-10; 345-67-8901
67;10068; Thomas, Jacob; Samuel, Robert; Green; 2027-07-19; Atlanta, GA, USA; Rebecca, Benjamin; Alexander, Thompson; Green; Ava, David; 2053-07-19; 2089-12-12; 123-45-6789
68;10069; Moore, Sophia; Caroline, James; Brown; 2026-08-20; Dallas, TX, USA; Sarah, Samuel; William, Robert; Brown; Joshua, Michael; 2054-08-20; 2091-11-11; 567-89-0123
69;10070; Lewis, Caleb; Rebecca, Robert; Jackson; 2025-09-21; San Diego, CA, USA; Emily, Benjamin; James, Samuel; Jackson; Mia, David; 2053-09-21; 2092-10-10; 987-65-4321</s>
70; 10071; Wilson, Lily, Elizabeth; Taylor, Daniel; New York, NY, USA; Grace, Richard; Steven, Thompson; Taylor; Ethan, Michael; 2052-06-15; 2088-07-16; 321-09-8765;;
71;10072; Harris, Grace, Emily; Clark, James, Joseph; Chicago, IL, USA; Emily, Thomas, William; Jeffrey, Robert; Clark; Bella, David; 2053-05-14; 2090-06-12; 789-45-6321;;
72;10073; Johnson, Emily, Catherine; Anderson, Richard, Samuel; Los Angeles, CA, USA; Rachel, Thomas, Benjamin; Michael, Robert; Anderson; Clara, David; 2053-09-23; 2091-12-20; 654-12-3456;;
73;10074; Miller, Madison, Sarah; Davis, Daniel, James; Miami, FL, USA; Laura, Steven, Thomas; Daniel, William; Davis; Faith, David; 2053-07-07; 2091-08-08; 901-23-4567;;
74;10075; Smith, Charlotte, Elizabeth; Garcia, Michael, Richard; Houston, TX, USA; Jessica, Jeffrey, Samuel; Robert, Thompson; Garcia; Lily, David; 2054-03-09; 2092-04-10; 234-56-7891;;
75;10076; Clark, Mia, Rebecca; Wilson, Ethan, Daniel; Philadelphia, PA, USA; Elizabeth, Michael, Steven; Thomas, William; Wilson; Emily, David; 2053-11-11; 2092-12-12; 876-54-3210;;
76;10077; Anderson, Ava, Caroline; Harris, Daniel, James; Boston, MA, USA; Nicole, Robert, Joseph; James, Thomas; Harris; Grace, David; 2054-02-20; 2093-03-22; 456-78-9012;;
77;10078; Taylor, Bella, Sarah; Johnson, Michael, Richard; Phoenix, AZ, USA; Olivia, William, Samuel; Samuel, Benjamin; Johnson; Lily, David; 2054-08-08; 2093-09-09; 123-89-0123;;
78;10079; Davis, Faith, Emily; Miller, Daniel, James; Seattle, WA, USA; Victoria, Thomas, William; Robert, Robert; Miller; Madison, David; 2054-12-12; 2094-01-13; 567-23-4567;;
79;10080; Garcia, Lily, Rebecca; Clark, Ethan, Daniel; San Francisco, CA, USA; Sophia, Jeffrey, Samuel; Michael, William; Clark; Charlotte, David; 2055-01-15; 2094-02-16; 987-65-4321</s>;;
80; 10081; Anderson, Grace, Catherine; Davis, Caleb, Samuel; New York, NY, USA; Elizabeth, Richard, Thomas; Samuel, Robert; Davis; Sarah, David; 2055-04-18; 2095-05-19; 876-34-0987;;
81;10082; Thomas, Sophia, Rachel; Johnson, Alexander, Richard; Chicago, IL, USA; Olivia, Michael, William; William, Benjamin; Johnson; Emily, David; 2055-06-20; 2095-07-21; 345-67-8901;;
82;10083; Walker, Charlotte, Elizabeth; Miller, Benjamin, James; Los Angeles, CA, USA; Faith, Daniel, Thomas; James, Robert; Miller; Anna, David; 2055-08-22; 2095-09-23; 234-56-7890;;
83;10084; Campbell, Anna, Katherine; Clark, Christopher, Daniel; Houston, TX, USA; Lily, Ethan, Samuel; Christopher, William; Clark; Caroline, David; 2055-10-24; 2095-11-25; 135-78-9012;;
84;10085; Clark, Caroline, Grace; Davis, Donald, Samuel; Philadelphia, PA, USA; Emily, Caleb, Thomas; Donald, Robert; Davis; Victoria, David; 2055-12-26; 2096-01-27; 456-78-0123;;
85;10086; Thompson, Emily, Faith; Johnson, Edward, Richard; Miami, FL, USA; Sophia, Alexander, William; Edward, Benjamin; Johnson; Lily, David; 2056-02-28; 2096-03-29; 789-01-2345;;
86;10087; White, Victoria, Anna; Miller, Daniel, James; Boston, MA, USA; Grace, Benjamin, Thomas; Daniel, Robert; Miller; Faith, David; 2056-04-30; 2096-05-31; 901-23-4567;;
87;10088; Lopez, Lily, Caroline; Clark, Frederick, Daniel; San Diego, CA, USA; Charlotte, Ethan, Samuel; Frederick, William; Clark; Anna, David; 2056-06-01; 2096-07-02; 234-56-7890;;
88;10089; Harris, Anna, Emily; Davis, Gabriel, Samuel; Washington, DC, USA; Victoria, Donald, Thomas; Gabriel, Robert; Davis; Caroline, David; 2056-08-03; 2096-09-04; 890-12-3456;;
89;10090; Martin, Caroline, Faith; Johnson, Henry, Richard; Atlanta, GA, USA; Sophia, Edward, William; Henry, Benjamin; Johnson; Emily, David; 2056-09-05; 2096-10-06; 567-89-0123;;</s>
90; 10091; Thompson, Emily, Grace; Miller, Isaac, James; Seattle, WA, USA; Laura, Gabriel, Samuel; Isaac, George; Miller; Faith, David; 2056-10-07; 2096-11-08; 345-67-8901;;
91;10092; Williams, Faith, Hannah; Garcia, Jack, Thomas; Miami, FL, USA; Maria, Harrison, Robert; Jack, Lewis; Garcia; Grace, David; 2056-11-09; 2096-12-10; 678-90-1234;;
92;10093; Jones, Grace, Iris; Wilson, Kevin, Samuel; Boston, MA, USA; Nancy, Howard, Thomas; Kevin, Michael; Wilson; Hannah, David; 2057-01-11; 2097-02-12; 901-23-4567;;
93;10094; Miller, Hannah, Laura; Anderson, Larry, James; Phoenix, AZ, USA; Olivia, Isaac, Samuel; Larry, Joseph; Anderson; Iris, David; 2057-02-13; 2097-03-14; 234-56-7890;;
94;10095; Davis, Iris, Maria; Taylor, Michael, Richard; Chicago, IL, USA; Pamela, Jacob, Samuel; Michael, William; Taylor; Laura, David; 2057-03-15; 2097-04-16; 890-12-3456;;
95;10096; Wilson, Laura, Nancy; Clark, Nathan, Thomas; New York, NY, USA; Rachel, Kevin, Samuel; Nathan, Richard; Clark; Maria, David; 2057-04-17; 2097-05-18; 567-89-0123;;
96;10097; Anderson, Maria, Olivia; Martin, Oliver, James; Los Angeles, CA, USA; Sophia, Lauren, Samuel; Oliver, James; Martin; Nancy, David; 2057-05-19; 2097-06-20; 345-67-8901;;
97;10098; Taylor, Nancy, Pamela; Thompson, Paul, Richard; Philadelphia, PA, USA; Emily, Isaac, Samuel; Paul, Samuel; Thompson; Olivia, David; 2057-06-21; 2097-07-22; 678-90-1234;;
98;10099; Clark, Olivia, Rachel; Williams, Quinn, James; Detroit, MI, USA; Faith, Jeremy, Samuel; Quinn, Robert; Williams; Pamela, David; 2057-07-23; 2097-08-24; 901-23-4567;;
99;10100; Martin, Pamela, Sophia; Jones, Ryan, Samuel; San Francisco, CA, USA; Grace, Jason, Samuel; Ryan, Thomas; Jones; Rachel, David; 2057-08-25; 2097-09-26; 234-56-7890;;</s>
100; 10101; Anderson, Rachel, Elizabeth; Harris, Steven, William; Boston, MA, USA; Hannah, Michael, Samuel; Steven, Richard; Harris; Elizabeth, David; 2057-09-27; 2097-10-28; 890-12-3456;;
101;10102; Thompson, Sophia, Rebecca; Garcia, Thomas, Michael; Seattle, WA, USA; Ivy, Matthew, Samuel; Thomas, Lawrence; Garcia; Rebecca, David; 2057-10-29; 2097-11-30; 567-89-0123;;
102;10103; Williams, Rebecca, Emily; Martinez, Peter, Jacob; Chicago, IL, USA; Jade, Luke, Samuel; Peter, Daniel; Martinez; Emily, David; 2057-11-30; 2097-12-31; 456-78-9012;;
103;10104; Jones, Emily, Hannah; Thompson, Paul, Richard; Philadelphia, PA, USA; Julia, Oliver, Samuel; Paul, Samuel; Thompson; Hannah, David; 2058-01-01; 2098-02-02; 123-45-6789;;
104;10105; Garcia, Hannah, Ivy; Clark, Olivia, Rachel; Detroit, MI, USA; Lily, Noah, Samuel; Olivia, Quinn; Clark; Ivy, David; 2058-02-02; 2098-03-03; 987-65-4321;;
105;10106; Martinez, Ivy, Jade; Anderson, Rachel, Elizabeth; Harris, Steven, William; Atlanta, GA, USA; Ruby, Mia, Samuel; Steven, Richard; Harris; Jade, David; 2058-03-03; 2098-04-04; 345-67-8901; 
106;10107; Thompson, Jade, Lily; Williams, Rebecca, Emily; Martinez, Peter, Jacob; Denver, CO, USA; Ava, Nina, Samuel; Peter, Daniel; Martinez; Lily, David; 2058-04-04; 2098-05-05; 890-12-3456; 
107;10108; Clark, Lily, Ruby; Garcia, Sophia, Rebecca; Garcia, Thomas, Michael; Portland, OR, USA; Zoe, Leo, Samuel; Thomas, Lawrence; Garcia; Ruby, David; 2058-05-05; 2098-06-06; 567-89-0123; 
108;10109; Anderson, Ruby, Ava; Jones, Emily, Hannah; Thompson, Paul, Richard; Dallas, TX, USA; Madison, Max, Samuel; Paul, Samuel; Thompson; Ava, David; 2058-06-06; 2098-07-07; 456-78-9012; 
109;10110; Garcia, Ava, Madison; Martinez, Ivy, Jade; Anderson, Rachel, Elizabeth; Harris, Steven, William; Phoenix, AZ, USA; Brooklyn, May, Samuel; Steven, Richard; Harris; Madison, David; 2058-07-07; 2098-08-08; 987-65-4321  </s>
