;Animal Type; Breed; Age; Weight; Health Status; Symptoms; Diagnosis; Treatment Plan; Follow-up; Owner Information
10; Horse; Quarter Horse; 10 years; 1200 pounds; Colic; Loss of appetite, restlessness; Colic; Fluid therapy, surgery; Schedule follow-up in 3 days; John Harris, 555-555-5555, [john.harris@email.com](mailto:john.harris@email.com)
11;Dog; Labrador Retriever; 2 years; 75 pounds; Hip Dysplasia; Limping, difficulty walking; Hip Dysplasia; Pain management, weight management; Schedule follow-up in 2 weeks; Emily Johnson, 555-555-5555, [emily.johnson@email.com](mailto:emily.johnson@email.com)
12;Bird; African Grey; 12 years; 1.5 pounds; Feather Plucking; Bald patches, repetitive behavior; Feather Plucking; Behavioral therapy, environmental enrichment; Schedule follow-up in 1 month; Olivia Davis, 555-555-5555, [olivia.davis@email.com](mailto:olivia.davis@email.com)
13;Snake; Ball Python; 5 years; 4 pounds; Respiratory Infection; Lethargy, mucus discharge; Respiratory Infection; Antibiotics, humidity control; Schedule follow-up in 2 weeks; Mark Thompson, 555-555-5555, [mark.thompson@email.com](mailto:mark.thompson@email.com)
14;Rabbit; Dutch; 8 months; 5 pounds; GI Stasis; Decreased appetite, small fecal pellets; GI Stasis; Fluid therapy, force-feeding; Schedule follow-up in 3 days; Sarah Green, 555-555-5555, [sarah.green@email.com](mailto:sarah.green@email.com)
15;Guinea Pig; American; 2 years; 2 pounds; Skin Cancer; Lump on skin, hair loss; Skin Cancer; Surgery, topical treatments; Schedule follow-up in 1 week; Matthew Brown, 555-555-5555, [matthew.brown@email.com](mailto:matthew.brown@email.com)
16;Frog; Green Tree; 1 year; 0.5 pounds; Chytrid Fungus; Reddened skin, lethargy; Chytrid Fungus; Antifungal treatments, isolation; Schedule follow-up in 2 weeks; David Wilson, 555-555-5555, [david.wilson@email.com](mailto:david.wilson@email.com)
17;Hamster; Syrian; 6 months; 0.2 pounds; Wet Tail; Diarrhea, lethargy; Wet Tail; Fluid therapy, antibiotics; Schedule follow-up in 5 days; Jessica Taylor, 555-555-5555, [jessica.taylor@email.com](mailto:jessica.taylor@email.com)
18;Turtle; Red-Eared Slider; 10 years; 8 pounds; Vitamin A Deficiency; Swollen eyes, poor appetite; Vitamin A Deficiency; Vitamin A supplements, diet change; Schedule follow-up in 1 month; William Anderson, 555-555-5555, [william.anderson@email.com](mailto:william.anderson@email.com)
19;Fish; Goldfish; 3 years; 0.5 pounds; Swim Bladder Disease; Buoyancy problems, loss of appetite; Swim Bladder Disease; Diet change, water quality control; Schedule follow-up in 1 week; Jennifer Miller, 555-555-5555, [jennifer.miller@email.com](mailto:jennifer.miller@email.com)</s>
20; Guinea Pig; American Smooth-Haired; 2 years; 2 pounds; Skin Disease; Hair loss, itchiness; Dermatophytosis; Anti-fungal medication, diet change; Schedule follow-up in 2 weeks; Robert Johnson, 555-555-5555, [robert.johnson@email.com](mailto:robert.johnson@email.com)
21;Dog; Labrador Retriever; 4 years; 70 pounds; Arthritis; Limping, difficulty standing; Osteoarthritis; Pain relievers, joint supplements; Schedule follow-up in 10 days; Emily Davis, 555-555-5555, [emily.davis@email.com](mailto:emily.davis@email.com)
22;Cat; Domestic Shorthair; 8 months; 10 pounds; Ear Mites; Head shaking, scratching ears; Ear Mites; Antiparasitic drugs, ear cleaning; Schedule follow-up in 7 days; Michael Brown, 555-555-5555, [michael.brown@email.com](mailto:michael.brown@email.com)
23;Bird; African Grey; 5 years; 1.5 pounds; Psittacine Beak and Feather Disease; Feather loss, abnormal feathers; PBFD; Symptomatic treatment, biosecurity; Schedule follow-up in 3 weeks; Daniel Williams, 555-555-5555, [daniel.williams@email.com](mailto:daniel.williams@email.com)
24;Horse; Thoroughbred; 6 years; 1100 pounds; Laminitis; Difficulty walking, hoof sensitivity; Laminitis; Rest, anti-inflammatory drugs; Schedule follow-up in 14 days; Sarah Johnson, 555-555-5555, [sarah.johnson@email.com](mailto:sarah.johnson@email.com)
25;Rat; Rex; 10 months; 1 pound; Respiratory Infection; Labored breathing, sneezing; Mycoplasma Pulmonis; Antibiotics, humidity control; Schedule follow-up in 4 days; Thomas Clark, 555-555-5555, [thomas.clark@email.com](mailto:thomas.clark@email.com)
26;Ferret; Sable; 3 years; 3 pounds; Insulinoma; Lethargy, weight loss; Insulinoma; Surgery, diet change; Schedule follow-up in 21 days; Laura White, 555-555-5555, [laura.white@email.com](mailto:laura.white@email.com)
27;Rabbit; Netherland Dwarf; 1 year; 4 pounds; Gastrointestinal Stasis; Decreased appetite, decreased feces; Gastrointestinal Stasis; Fluid therapy, force-feeding; Schedule follow-up in 6 days; Karen Green, 555-555-5555, [karen.green@email.com](mailto:karen.green@email.com)
28;Goat; Nigerian Dwarf; 2 years; 75 pounds; Caseous Lymphadenitis; Swollen lymph nodes, weight loss; Caseous Lymphadenitis; Antibiotics, isolation; Schedule follow-up in 28 days; Charles Martin, 555-555-5555, [charles.martin@email.com](mailto:charles.martin@email.com)
29;Sheep; Suffolk; 4 years; 200 pounds; Ovine Progressive Pneumonia; Coughing, difficulty breathing; OPP; Antibiotics, culling; Schedule follow-up in 30 days; Olivia Lewis, 555-555-5555, [olivia.lewis@email.com](mailto:olivia.lewis@email.com)</s>
30; Pig; Yorkshire; 6 months; 150 pounds; Tail Bite Parasites; Bleeding tail, lethargy; Tail Bite Parasites; Antiparasitic medication, environmental changes; Schedule follow-up in 14 days; Philip Thompson, 555-555-5555, [philip.thompson@email.com](mailto:philip.thompson@email.com)
31;Alpaca; Huacaya; 3 years; 120 pounds; Internal Parasites; Diarrhea, weight loss; Internal Parasites; Dewormer, fecal testing; Schedule follow-up in 21 days; Susan Ward, 555-555-5555, [susan.ward@email.com](mailto:susan.ward@email.com)
32;Horse; Thoroughbred; 7 years; 1000 pounds; Laminitis; Difficulty walking, warmth in hooves; Laminitis; Pain management, dietary changes; Schedule follow-up in 7 days; Daniel Bennett, 555-555-5555, [daniel.bennett@email.com](mailto:daniel.bennett@email.com)
33;Cow; Holstein; 3 years; 1800 pounds; Mastitis; Swollen udder, milk abnormalities; Mastitis; Antibiotics, culling; Schedule follow-up in 35 days; Emily Clark, 555-555-5555, [emily.clark@email.com](mailto:emily.clark@email.com)
34;Llama; Suri; 5 years; 350 pounds; Ear Mites; Scratching ears, hair loss; Ear Mites; Antiparasitic medication, ear cleaning; Schedule follow-up in 30 days; Thomas Adams, 555-555-5555, [thomas.adams@email.com](mailto:thomas.adams@email.com)
35;Duck; Pekin; 2 years; 8 pounds; Duck Viral Enteritis; Diarrhea, lethargy; Duck Viral Enteritis; Supportive care, isolation; Schedule follow-up in 10 days; Laura Jackson, 555-555-5555, [laura.jackson@email.com](mailto:laura.jackson@email.com)
36;Chicken; Rhode Island Red; 1 year; 7 pounds; Fowl Pox; Lesions, decreased egg production; Fowl Pox; Vaccination, supportive care; Schedule follow-up in 14 days; Michael Walker, 555-555-5555, [michael.walker@email.com](mailto:michael.walker@email.com)
37;Turkey; Broad Breasted White; 6 months; 40 pounds; Black Head; Head tilt, neurological signs; Black Head; Antibiotics, isolation; Schedule follow-up in 10 days; Nancy Hall, 555-555-5555, [nancy.hall@email.com](mailto:nancy.hall@email.com)
38;Geese; Toulouse; 3 years; 20 pounds; Angular Limb Deformity; Abnormal gait, lameness; Angular Limb Deformity; Corrective shoeing, splints; Schedule follow-up in 21 days; Pamela King, 555-555-5555, [pamela.king@email.com](mailto:pamela.king@email.com)
39;Dove; Ringneck; 2 years; 7 ounces; Canker; Discharge, feather loss; Canker; Antifungal medication, dietary changes; Schedule follow-up in 10 days; James White, 555-555-5555, [james.white@email.com](mailto:james.white@email.com)</s>
40; Goat; Nubian; 2 years; 120 pounds; Parasitic Gastroenteritis; Diarrhea, weight loss; Parasitic Gastroenteritis; Dewormer medication, improved nutrition; Schedule follow-up in 14 days; David Moore, 555-555-5555, [david.moore@email.com](mailto:david.moore@email.com)
41;Pig; Yorkshire; 8 months; 300 pounds; Tail Bite Trauma; Wound on tail, aggressive behavior; Tail Bite Trauma; Antibiotics, tail docking; Schedule follow-up in 7 days; Laura Johnson, 555-555-5555, [laura.johnson@email.com](mailto:laura.johnson@email.com)
42;Duck; Pekin; 1 year; 5 pounds; Botulism; Weakness, difficulty breathing; Botulism; Antitoxin, rehydration; Schedule follow-up in 5 days; Michael Smith, 555-555-5555, [michael.smith@email.com](mailto:michael.smith@email.com)
43;Sheep; Suffolk; 4 years; 180 pounds; Pregnancy Toxemia; Lethargy, loss of appetite; Pregnancy Toxemia; Dextrose, vitamin B1; Schedule follow-up in 3 days; Emily Davis, 555-555-5555, [emily.davis@email.com](mailto:emily.davis@email.com)
44;Rabbit; Dutch; 10 months; 6 pounds; Snuffles; Sneezing, nasal discharge; Snuffles; Antibiotics, humidifier; Schedule follow-up in 10 days; Thomas Brown, 555-555-5555, [thomas.brown@email.com](mailto:thomas.brown@email.com)
45;Horse; Thoroughbred; 5 years; 1200 pounds; Laminitis; Difficulty walking, sensitivity to hoof testers; Laminitis; Anti-inflammatory medication, shoeing changes; Schedule follow-up in 7 days; Susan Taylor, 555-555-5555, [susan.taylor@email.com](mailto:susan.taylor@email.com)
46;Chicken; Rhode Island Red; 1 year; 8 pounds; Coccidiosis; Diarrhea, weight loss; Coccidiosis; Anticoccidial medication, improved hygiene; Schedule follow-up in 14 days; William Johnson, 555-555-5555, [william.johnson@email.com](mailto:william.johnson@email.com)
47;Turkey; Bourbon Red; 9 months; 35 pounds; Fowl Cholera; Greenish diarrhea, difficulty breathing; Fowl Cholera; Antibiotics, quarantine; Schedule follow-up in 10 days; Rebecca Thompson, 555-555-5555, [rebecca.thompson@email.com](mailto:rebecca.thompson@email.com)
48;Goose; Embden; 5 years; 25 pounds; Hypothyroidism; Lethargy, weight gain; Hypothyroidism; Thyroid hormone replacement, diet changes; Schedule follow-up in 21 days; Danielle Adams, 555-555-5555, [danielle.adams@email.com](mailto:danielle.adams@email.com)
49;Dove; Diamond; 3 years; 8 ounces; Pigeon Malaria; Weakness, pale mucous membranes; Pigeon Malaria; Antimalarial medication, isolation; Schedule follow-up in 10 days; Charles Miller, 555-555-5555, [charles.miller@email.com](mailto:charles.miller@email.com)</s>
50; Alpaca; Huacaya; 2 years; 150 pounds; Gastrointestinal Parasites; Diarrhea, weight loss; Parasitic infection; Deworming treatment, improved nutrition; Schedule follow-up in 14 days; Olivia Johnson, 555-555-5555, [olivia.johnson@email.com](mailto:olivia.johnson@email.com)
51;Llama; Classic; 7 years; 220 pounds; Llamisto (Llama Arthritis); Limping, swelling in joints; Llamisto; Anti-inflammatory medication, assisted exercise; Schedule follow-up in 21 days; Alexander Wilson, 555-555-5555, [alexander.wilson@email.com](mailto:alexander.wilson@email.com)
52;Capybara; Regular; 4 years; 110 pounds; Capybara Papillomatosis; Warts, skin abnormalities; Papillomatosis; Surgical removal of warts, improved environment; Schedule follow-up in 30 days; Samantha Young, 555-555-5555, [samantha.young@email.com](mailto:samantha.young@email.com)
53;Kangaroo; Red; 6 years; 120 pounds; Mycotic Dermatitis; Inflamed skin, fur loss; Fungal infection; Antifungal medication, improved hygiene; Schedule follow-up in 14 days; Benjamin Davis, 555-555-5555, [benjamin.davis@email.com](mailto:benjamin.davis@email.com)
54;Wallaby; Bennet's; 2 years; 30 pounds; Tooth Decay; Reduced appetite, weight loss; Dental Disease; Dental treatment, improved nutrition; Schedule follow-up in 21 days; Emily Brown, 555-555-5555, [emily.brown@email.com](mailto:emily.brown@email.com)
55;Sugar Glider; Siam; 1 year; 5 ounces; Giardiasis; Diarrhea, weight loss; Parasitic infection; Antiparasitic medication, improved diet; Schedule follow-up in 7 days; Henry Garcia, 555-555-5555, [henry.garcia@email.com](mailto:henry.garcia@email.com)
56;Fennec Fox; Fennec; 3 years; 4 pounds; Ear Mites; Excessive ear wax, head shaking; Parasitic infection; Antiparasitic medication, ear cleaning; Schedule follow-up in 10 days; Isabella Harris, 555-555-5555, [isabella.harris@email.com](mailto:isabella.harris@email.com)
57;Coati; White-nosed; 5 years; 18 pounds; Gastric Ulcers; Vomiting, reduced appetite; Gastrointestinal Disease; Antacids, dietary changes; Schedule follow-up in 14 days; Jack Carter, 555-555-5555, [jack.carter@email.com](mailto:jack.carter@email.com)
58;Tayra; Western; 8 years; 20 pounds; Kidney Stones; Abdominal pain, difficulty urinating; Urinary Tract Disease; Fluid therapy, dietary changes; Schedule follow-up in 14 days; Jasmine White, 555-555-5555, [jasmine.white@email.com](mailto:jasmine.white@email.com)
59;Skunk; Striped; 2 years; 15 pounds; Mange; Hair loss, itching; Parasitic infection; Antiparasitic medication, improved hygiene; Schedule follow-up in 14 days; Kayla Mitchell, 555-555-5555, [kayla.mitchell@email.com](mailto:kayla.mitchell@email.com)</s>
60; Fox; Red; 3 years; 25 pounds; Infection; Lethargy, fever; Respiratory Infection; Antibiotics, rest; Schedule follow-up in 7 days; Samuel Green, 555-555-5555, [samuel.green@email.com](mailto:samuel.green@email.com)
61;Raccoon; Common; 4 years; 30 pounds; Arthritis; Limping, swelling; Degenerative Joint Disease; Pain relievers, controlled exercise; Schedule follow-up in 21 days; Olivia Johnson, 555-555-5555, [olivia.johnson@email.com](mailto:olivia.johnson@email.com)
62;Badger; American; 7 years; 35 pounds; Dental Disease; Bad breath, difficulty eating; Periodontal Disease; Dental cleaning, special diet; Schedule follow-up in 30 days; William Brown, 555-555-5555, [william.brown@email.com](mailto:william.brown@email.com)
63;Opossum; Virginia; 1 year; 10 pounds; Parasites; Diarrhea, weight loss; Intestinal Parasites; Antiparasitic medication, dietary changes; Schedule follow-up in 14 days; Emily Davis, 555-555-5555, [emily.davis@email.com](mailto:emily.davis@email.com)
64;Beaver; North American; 6 years; 40 pounds; Abscess; Swelling, difficulty eating; Bacterial Infection; Antibiotics, drainage; Schedule follow-up in 14 days; Thomas Wilson, 555-555-5555, [thomas.wilson@email.com](mailto:thomas.wilson@email.com)
65;Weasel; Least; 2 years; 5 pounds; Ear Infection; Head tilting, loss of balance; Otitis; Antibiotics, ear drops; Schedule follow-up in 7 days; Jessica Taylor, 555-555-5555, [jessica.taylor@email.com](mailto:jessica.taylor@email.com)
66;Mink; American; 5 years; 20 pounds; Eye Infection; Redness, discharge; Conjunctivitis; Antibiotics, eye cleaning; Schedule follow-up in 7 days; Rebecca Thompson, 555-555-5555, [rebecca.thompson@email.com](mailto:rebecca.thompson@email.com)
67;Marmot; Yellow-bellied; 8 years; 15 pounds; Skin Cancer; Lesions, loss of fur; Squamous Cell Carcinoma; Surgery, sun protection; Schedule follow-up in 30 days; Charles Walker, 555-555-5555, [charles.walker@email.com](mailto:charles.walker@email.com)
68;Wolverine; Canadian; 10 years; 45 pounds; Liver Disease; Jaundice, weight loss; Hepatic Lipidosis; Diet change, monitoring; Schedule follow-up in 14 days; Daniel Anderson, 555-555-5555, [daniel.anderson@email.com](mailto:daniel.anderson@email.com)
69;Lynx; Canada; 9 years; 30 pounds; Fracture; Limping, swelling; Broken Leg; Cast, rest; Schedule follow-up in 21 days; Matthew Lewis, 555-555-5555, [matthew.lewis@email.com](mailto:matthew.lewis@email.com)</s>
70; Raccoon; Northern; 7 years; 20 pounds; Gastrointestinal Disorder; Diarrhea, vomiting; Inflammatory Bowel Disease; Diet modification, medication; Schedule follow-up in 10 days; Emily Johnson, 555-555-5555, [emily.johnson@email.com](mailto:emily.johnson@email.com)
71;Red Fox; Vulpes vulpes; 5 years; 18 pounds; Respiratory Infection; Coughing, nasal discharge; Canine Distemper; Vaccination, isolation; Schedule follow-up in 14 days; Jacob Brown, 555-555-5555, [jacob.brown@email.com](mailto:jacob.brown@email.com)
72;Grizzly Bear; North American; 12 years; 800 pounds; Dental Issues; Difficulty eating, tooth decay; Dental Surgery; Anesthesia, pain management; Schedule follow-up in 30 days; Olivia Davis, 555-555-5555, [olivia.davis@email.com](mailto:olivia.davis@email.com)
73;Hawaiian Monk Seal; Neomonachus schauinslandi; 6 years; 450 pounds; Ear Infection; Head tilting, loss of balance; Topical Treatment; Antibiotics, monitoring; Schedule follow-up in 7 days; Samuel Thompson, 555-555-5555, [samuel.thompson@email.com](mailto:samuel.thompson@email.com)
74;Mountain Goat; Oreamnos americanus; 10 years; 250 pounds; Arthritis; Limping, difficulty moving; Anti-inflammatory Medication; Physical Therapy, weight management; Schedule follow-up in 21 days; Sophia Taylor, 555-555-5555, [sophia.taylor@email.com](mailto:sophia.taylor@email.com)
75;Bengal Tiger; Panthera tigris tigris; 4 years; 500 pounds; Broken Canine; Bleeding, difficulty eating; Dental Surgery; Soft Diet, pain management; Schedule follow-up in 14 days; Alexander Smith, 555-555-5555, [alexander.smith@email.com](mailto:alexander.smith@email.com)
76;African Elephant; Loxodonta africana; 45 years; 12000 pounds; Osteoarthritis; Limping, difficulty moving; Joint Supplements; Physical Therapy, weight management; Schedule follow-up in 30 days; Isabella Wilson, 555-555-5555, [isabella.wilson@email.com](mailto:isabella.wilson@email.com)
77;Koala; Phascolarctos cinereus; 15 years; 30 pounds; Chlamydia; Eye Infection, loss of appetite; Antibiotics; Fluid Therapy, isolation; Schedule follow-up in 14 days; Benjamin Green, 555-555-5555, [benjamin.green@email.com](mailto:benjamin.green@email.com)
78;Giant Panda; Ailuropoda melanoleuca; 20 years; 330 pounds; Intestinal Problems; Diarrhea, loss of appetite; Fiber-rich Diet; Medication, monitoring; Schedule follow-up in 7 days; Ava Carter, 555-555-5555, [ava.carter@email.com](mailto:ava.carter@email.com)
79;Sea Otter; Enhydra lutris; 8 years; 70 pounds; Skin Irritation; Redness, scratching; Topical Treatment; Antihistamines, monitoring; Schedule follow-up in 7 days; Benjamin White, 555-555-5555, [benjamin.white@email.com](mailto:benjamin.white@email.com)</s>
80; Sloth; Bradypus variegatus; 12 years; 15 pounds; Parasites; Lethargy, diarrhea; De-worming medication; Fluid therapy, increased fiber diet; Schedule follow-up in 14 days; Henry Jackson, 555-555-5555, [henry.jackson@email.com](mailto:henry.jackson@email.com)
81;Red Panda; Ailurus fulgens; 7 years; 14 pounds; Dental Disease; Loss of appetite, reddened gums; Dental cleaning; Soft food diet, antibiotics; Schedule follow-up in 10 days; Emily Foster, 555-555-5555, [emily.foster@email.com](mailto:emily.foster@email.com)
82;Quokka; Setonix brachyurus; 5 years; 11 pounds; Respiratory Infection; Coughing, sneezing; Antibiotics; Fluid therapy, rest; Schedule follow-up in 7 days; Laura Thompson, 555-555-5555, [laura.thompson@email.com](mailto:laura.thompson@email.com)
83;Wallaby; Macropus rufus; 4 years; 45 pounds; Liver Disease; Lethargy, weight loss; Specialized diet; Medication, monitoring; Schedule follow-up in 14 days; Michael Adams, 555-555-5555, [michael.adams@email.com](mailto:michael.adams@email.com)
84;Tasmanian Devil; Sarcophilus harrisii; 3 years; 26 pounds; Heartworm; Coughing, exercise intolerance; Heartworm prevention; Rest, fluid therapy; Schedule follow-up in 21 days; Susan Lewis, 555-555-5555, [susan.lewis@email.com](mailto:susan.lewis@email.com)
85;Kangaroo; Macropus rufus; 6 years; 80 pounds; Fractured Leg; Limping, swelling; Cast, rest; Pain management, physical therapy; Schedule follow-up in 30 days; Daniel Roberts, 555-555-5555, [daniel.roberts@email.com](mailto:daniel.roberts@email.com)
86;Echidna; Tachyglossus aculeatus; 2 years; 12 pounds; Gastrointestinal Problems; Lethargy, loss of appetite; Soft diet; Medication, monitoring; Schedule follow-up in 14 days; Jennifer Miller, 555-555-5555, [jennifer.miller@email.com](mailto:jennifer.miller@email.com)
87;Wombat; Vombatus ursinus; 8 years; 55 pounds; Skin Abscess; Redness, pain; Drainage, antibiotics; Soft diet, rest; Schedule follow-up in 10 days; David Thompson, 555-555-5555, [david.thompson@email.com](mailto:david.thompson@email.com)
88;Koala; Phascolarctos cinereus; 10 years; 25 pounds; Arthritis; Limping, difficulty moving; Pain management; Specialized diet, rest; Schedule follow-up in 21 days; Karen Anderson, 555-555-5555, [karen.anderson@email.com](mailto:karen.anderson@email.com)
89;Emperor Penguin; Aptenodytes forsteri; 12 years; 45 pounds; Fish bone injury; Difficulty swallowing, loss of appetite; Pain management; Soft diet, monitoring; Schedule follow-up in 14 days; Jonathan Hall, 555-555-5555, [jonathan.hall@email.com](mailto:jonathan.hall@email.com)</s>
90; Quokka; Setonix brachyurus; 5 years; 15 pounds; Gastrointestinal parasites; Diarrhea, weight loss; Deworming medication; Soft diet, hydration; Schedule follow-up in 7 days; Sophie Wilson, 555-555-5555, [sophie.wilson@email.com](mailto:sophie.wilson@email.com)
91;Wallaby; Macropus rufus; 3 years; 35 pounds; Eye injury; Squinting, discharge; Eye ointment, pain management; Soft diet, rest; Schedule follow-up in 14 days; Benjamin Johnson, 555-555-5555, [benjamin.johnson@email.com](mailto:benjamin.johnson@email.com)
92;Tasmanian Devil; Sarcophilus harrisii; 6 years; 22 pounds; Dental disease; Bad breath, difficulty eating; Dental cleaning, antibiotics; Soft diet, pain management; Schedule follow-up in 21 days; Emily Davis, 555-555-5555, [emily.davis@email.com](mailto:emily.davis@email.com)
93;Red Kangaroo; Macropus rufus; 7 years; 80 pounds; Fractured leg; Limping, swelling; Cast, pain management; Restricted activity, soft diet; Schedule follow-up in 30 days; James Smith, 555-555-5555, [james.smith@email.com](mailto:james.smith@email.com)
94;Sugar Glider; Petaurus breviceps; 2 years; 6 ounces; Respiratory infection; Coughing, difficulty breathing; Antibiotics, nebulization; Warm, humid environment; Schedule follow-up in 7 days; Olivia Brown, 555-555-5555, [olivia.brown@email.com](mailto:olivia.brown@email.com)
95;Koala; Phascolarctos cinereus; 7 years; 28 pounds; Chlamydia infection; Discharge, lethargy; Antibiotics, fluid therapy; Specialized diet, isolation; Schedule follow-up in 21 days; William Moore, 555-555-5555, [william.moore@email.com](mailto:william.moore@email.com)
96;Dingo; Canis lupus dingo; 4 years; 45 pounds; Skin infection; Hair loss, itching; Antibiotics, topical treatment; Bathing, dietary management; Schedule follow-up in 10 days; Ava Taylor, 555-555-5555, [ava.taylor@email.com](mailto:ava.taylor@email.com)
97;Echidna; Tachyglossus aculeatus; 10 years; 12 pounds; Mite infestation; Scratching, hair loss; Antiparasitic medication, bathing; Nutritious diet, stress management; Schedule follow-up in 14 days; Mia Thompson, 555-555-5555, [mia.thompson@email.com](mailto:mia.thompson@email.com)
98;Platypus; Ornithorhynchus anatinus; 2 years; 5 pounds; Foreign body ingestion; Vomiting, loss of appetite; Endoscopy, removal of foreign body; Soft diet, hydration; Schedule follow-up in 7 days; Daniel White, 555-555-5555, [daniel.white@email.com](mailto:daniel.white@email.com)
99;Wombat; Lasiorhinus krefftii; 9 years; 60 pounds; Ear infection; Head tilting, scratching; Antibiotics, ear drops; Soft diet, rest; Schedule follow-up in 14 days; Ethan Green, 555-555-5555, [ethan.green@email.com](mailto:ethan.green@email.com)</s>
100; Koala; Phascolarctos cinereus; 7 years; 18 pounds; Gum disease; Reduced appetite, drooling; Dental cleaning, antibiotics; Soft diet, hydration; Schedule follow-up in 21 days; Clara Lewis, 555-555-5555, [clara.lewis@email.com](mailto:clara.lewis@email.com)
101;Tasmanian Devil; Sarcophilus harrisii; 4 years; 24 pounds; Heartworm; Coughing, lethargy; Heartworm prevention, antibiotics; Nutritious diet, rest; Schedule follow-up in 30 days; Owen Howard, 555-555-5555, [owen.howard@email.com](mailto:owen.howard@email.com)
102;Kangaroo; Macropus rufus; 5 years; 150 pounds; Arthritis; Limping, stiffness; Anti-inflammatory medication, physical therapy; Balanced diet, weight management; Schedule follow-up in 28 days; Lily Allen, 555-555-5555, [lily.allen@email.com](mailto:lily.allen@email.com)
103;Wallaby; Notamacropus agilis; 2 years; 40 pounds; Upper respiratory infection; Nasal discharge, sneezing; Antibiotics, decongestants; Nutritious diet, hydration; Schedule follow-up in 14 days; Benjamin Carter, 555-555-5555, [benjamin.carter@email.com](mailto:benjamin.carter@email.com)
104;Quokka; Setonix brachyurus; 1 year; 13 pounds; Digestive issues; Diarrhea, weight loss; Probiotics, dietary changes; Soft diet, rehydration; Schedule follow-up in 10 days; Sarah Walker, 555-555-5555, [sarah.walker@email.com](mailto:sarah.walker@email.com)
105;Possum; Trichosurus vulpecula; 3 years; 10 pounds; Skin issues; Dermatitis, itching; Topical treatments, dietary changes; Balanced diet, stress management; Schedule follow-up in 14 days; Jack Perry, 555-555-5555, [jack.perry@email.com](mailto:jack.perry@email.com)
106;Quoll; Dasyurus maculatus; 6 years; 12 pounds; Kidney disease; Increased drinking, weight loss; Fluid therapy, dietary changes; Nutritious diet, supplements; Schedule follow-up in 14 days; Ava King, 555-555-5555, [ava.king@email.com](mailto:ava.king@email.com)
107;Bilby; Macrotis lagotis; 7 years; 3 pounds; Eye infection; Discharge, redness; Antibiotics, eye care; Soft diet, hydration; Schedule follow-up in 7 days; Olivia Brown, 555-555-5555, [olivia.brown@email.com](mailto:olivia.brown@email.com)
108;Numbat; Myrmecobius fasciatus; 4 years; 2 pounds; Anemia; Pale gums, weakness; Iron supplement, dietary changes; Nutritious diet, stress management; Schedule follow-up in 14 days; James Taylor, 555-555-5555, [james.taylor@email.com](mailto:james.taylor@email.com)
109;Carpet Python; Morelia spilota; 12 years; 40 pounds; Respiratory infection; Discharge, wheezing; Antibiotics, nebulization; Balanced diet, clean environment; Schedule follow-up in 21 days; Harper Moore, 555-555-5555, [harper.moore@email.com](mailto:harper.moore@email.com)</s>
